,country,year,gender,gold,silver,bronze,total
147,Sweden,1932,male,9,4,7,20
148,Japan,1932,male,6,5,4,15
149,France,1932,male,6,4,3,13
150,Finland,1932,male,5,8,11,24
151,Hungary,1932,male,4,5,3,12
152,Germany,1932,male,3,7,6,16
153,Great Britain,1932,male,3,3,1,7
154,Argentina,1932,male,3,1,0,4
155,Canada,1932,male,2,2,4,8
156,Netherlands,1932,male,2,2,1,5
157,Australia,1932,male,2,0,1,3
158,South Africa,1932,male,2,0,1,3
159,Ireland,1932,male,2,0,0,2
160,Poland,1932,male,2,0,0,2
161,Czechoslovakia,1932,male,1,3,2,6
162,Denmark,1932,male,0,4,1,5
163,Mexico,1932,male,0,2,0,2
164,Austria,1932,male,0,1,3,4
165,Latvia,1932,male,0,1,0,1
166,Switzerland,1932,male,0,1,0,1
167,Philippines,1932,male,0,0,3,3
168,Belgium,1932,male,0,0,1,1
169,Spain,1932,male,0,0,1,1
170,Uruguay,1932,male,0,0,1,1
171,Germany,1936,male,22,21,21,64
172,United States,1936,male,17,17,8,42
173,Finland,1936,male,8,6,5,19
174,Hungary,1936,male,6,1,3,10
175,France,1936,male,5,4,2,11
176,Sweden,1936,male,5,3,7,15
177,Italy,1936,male,4,8,5,17
178,Japan,1936,male,4,4,10,18
179,Austria,1936,male,4,3,2,9
180,Switzerland,1936,male,3,6,3,12
181,Estonia,1936,male,2,2,3,7
182,Netherlands,1936,male,2,1,3,6
183,Egypt,1936,male,2,1,2,5
184,Czechoslovakia,1936,male,1,4,1,6
185,Great Britain,1936,male,1,3,1,5
186,Argentina,1936,male,1,1,2,4
187,Canada,1936,male,1,1,2,4
188,Norway,1936,male,1,1,1,3
189,Türkiye,1936,male,1,0,1,2
190,New Zealand,1936,male,1,0,0,1
191,Poland,1936,male,0,1,3,4
192,Latvia,1936,male,0,1,1,2
193,Romania,1936,male,0,1,0,1
194,South Africa,1936,male,0,1,0,1
195,Yugoslavia,1936,male,0,1,0,1
196,Denmark,1936,male,0,0,2,2
197,Australia,1936,male,0,0,1,1
198,Belgium,1936,male,0,0,1,1
199,Mexico,1936,male,0,0,1,1
200,Philippines,1936,male,0,0,1,1
201,United States,1948,male,23,21,13,57
202,Sweden,1948,male,14,9,14,37
203,Finland,1948,male,8,7,4,19
204,Hungary,1948,male,7,2,9,18
205,Italy,1948,male,6,5,8,19
206,Türkiye,1948,male,6,4,2,12
207,Switzerland,1948,male,5,8,6,19
208,France,1948,male,5,4,8,17
209,Czechoslovakia,1948,male,4,1,3,8
210,Argentina,1948,male,3,1,1,5
211,Australia,1948,male,2,4,2,8
212,South Africa,1948,male,2,2,2,6
213,Egypt,1948,male,2,2,1,5
214,Great Britain,1948,male,1,7,3,11
215,Denmark,1948,male,1,2,4,7
216,Belgium,1948,male,1,2,2,5
217,Austria,1948,male,1,2,1,4
218,Jamaica,1948,male,1,2,0,3
219,Mexico,1948,male,1,1,1,3
220,Poland,1948,male,1,0,1,2
221,Peru,1948,male,1,0,0,1
222,Norway,1948,male,0,2,2,4
223,Canada,1948,male,0,2,1,3
224,Netherlands,1948,male,0,1,4,5
225,Sri Lanka,1948,male,0,1,0,1
226,Trinidad and Tobago,1948,male,0,1,0,1
227,Uruguay,1948,male,0,1,0,1
228,Yugoslavia,1948,male,0,1,0,1
229,Panama,1948,male,0,0,2,2
230,Republic of Korea,1948,male,0,0,2,2
231,Islamic Republic of Iran,1948,male,0,0,1,1
232,Puerto Rico,1948,male,0,0,1,1
233,United States,1952,male,30,16,10,56
234,Soviet Union,1952,male,15,16,12,43
235,Sweden,1952,male,9,8,8,25
236,Hungary,1952,male,6,6,7,19
237,Czechoslovakia,1952,male,5,2,2,9
238,Italy,1952,male,4,6,2,12
239,France,1952,male,3,4,3,10
240,Finland,1952,male,3,3,9,15
241,Switzerland,1952,male,2,3,4,9
242,Australia,1952,male,2,2,1,5
243,Türkiye,1952,male,2,0,1,3
244,Norway,1952,male,2,0,0,2
245,Japan,1952,male,1,5,2,8
246,Jamaica,1952,male,1,3,0,4
247,Poland,1952,male,1,2,1,4
248,Romania,1952,male,1,1,2,4
249,Belgium,1952,male,1,1,0,2
250,Canada,1952,male,1,1,0,2
251,Brazil,1952,male,1,0,2,3
252,Denmark,1952,male,1,0,1,2
253,Luxembourg,1952,male,1,0,0,1
254,Germany,1952,male,0,3,11,14
255,Islamic Republic of Iran,1952,male,0,3,4,7
256,Argentina,1952,male,0,2,2,4
257,South Africa,1952,male,0,1,4,5
258,Great Britain,1952,male,0,1,3,4
259,Lebanon,1952,male,0,1,1,2
260,Chile,1952,male,0,1,0,1
261,Ireland,1952,male,0,1,0,1
262,Mexico,1952,male,0,1,0,1
263,Spain,1952,male,0,1,0,1
264,Republic of Korea,1952,male,0,0,2,2
265,Trinidad and Tobago,1952,male,0,0,2,2
266,Bulgaria,1952,male,0,0,1,1
267,Egypt,1952,male,0,0,1,1
268,India,1952,male,0,0,1,1
269,New Zealand,1952,male,0,0,1,1
270,Venezuela,1952,male,0,0,1,1
271,Soviet Union,1956,male,25,18,22,65
272,United States,1956,male,21,15,13,49
273,Japan,1956,male,4,9,5,18
274,Italy,1956,male,4,5,7,16
275,Australia,1956,male,4,4,6,14
276,Romania,1956,male,4,2,3,9
277,Sweden,1956,male,3,3,5,11
278,Great Britain,1956,male,3,3,4,10
279,Türkiye,1956,male,3,2,2,7
280,Finland,1956,male,3,1,8,12
281,France,1956,male,3,1,3,7
282,Hungary,1956,male,2,6,3,11
283,Germany,1956,male,2,4,1,7
284,Islamic Republic of Iran,1956,male,2,2,1,5
285,Bulgaria,1956,male,1,3,0,4
286,Ireland,1956,male,1,1,3,5
287,Norway,1956,male,1,0,2,3
288,Canada,1956,male,1,0,1,2
289,Mexico,1956,male,1,0,1,2
290,Brazil,1956,male,1,0,0,1
291,Denmark,1956,male,1,0,0,1
292,New Zealand,1956,male,1,0,0,1
293,Poland,1956,male,0,3,3,6
294,Czechoslovakia,1956,male,0,2,1,3
295,Belgium,1956,male,0,2,0,2
296,Chile,1956,male,0,1,2,3
297,Argentina,1956,male,0,1,1,2
298,Republic of Korea,1956,male,0,1,1,2
299,Iceland,1956,male,0,1,0,1
300,Yugoslavia,1956,male,0,1,0,1
301,South Africa,1956,male,0,0,3,3
302,Greece,1956,male,0,0,1,1
303,Soviet Union,1960,male,25,15,19,59
304,United States,1960,male,20,17,12,49
305,Italy,1960,male,8,7,6,21
306,Türkiye,1960,male,7,2,0,9
307,Australia,1960,male,6,4,4,14
308,Hungary,1960,male,4,5,3,12
309,Poland,1960,male,4,3,8,15
310,Germany,1960,male,3,9,3,15
311,Japan,1960,male,3,6,5,14
312,Romania,1960,male,2,1,3,6
313,New Zealand,1960,male,2,0,1,3
314,Denmark,1960,male,2,0,0,2
315,Bulgaria,1960,male,1,3,3,7
316,Great Britain,1960,male,1,1,8,10
317,Finland,1960,male,1,1,2,4
318,Czechoslovakia,1960,male,1,0,2,3
319,Austria,1960,male,1,0,0,1
320,Ethiopia,1960,male,1,0,0,1
321,Belgium,1960,male,0,2,2,4
322,Switzerland,1960,male,0,2,1,3
323,Islamic Republic of Iran,1960,male,0,1,3,4
324,Sweden,1960,male,0,1,3,4
325,France,1960,male,0,1,2,3
326,South Africa,1960,male,0,1,2,3
327,United Arab Republic,1960,male,0,1,1,2
328,Chinese Taipei,1960,male,0,1,0,1
329,Ghana,1960,male,0,1,0,1
330,Morocco,1960,male,0,1,0,1
331,Singapore,1960,male,0,1,0,1
332,Yugoslavia,1960,male,0,1,0,1
333,Argentina,1960,male,0,0,1,1
334,Brazil,1960,male,0,0,1,1
335,Iraq,1960,male,0,0,1,1
336,Mexico,1960,male,0,0,1,1
337,Netherlands,1960,male,0,0,1,1
338,Pakistan,1960,male,0,0,1,1
339,Venezuela,1960,male,0,0,1,1
340,West Indies Federation,1960,male,0,0,1,1
341,United States,1964,male,19,14,17,50
342,Soviet Union,1964,male,15,22,22,59
343,Japan,1964,male,14,5,5,24
344,Italy,1964,male,8,5,5,18
345,Poland,1964,male,6,1,7,14
346,Hungary,1964,male,5,5,3,13
347,Germany,1964,male,3,11,11,25
348,Bulgaria,1964,male,3,5,2,10
349,Australia,1964,male,3,0,4,7
350,Finland,1964,male,3,0,2,5
351,Great Britain,1964,male,2,7,1,10
352,Czechoslovakia,1964,male,2,3,1,6
353,Türkiye,1964,male,2,3,1,6
354,Yugoslavia,1964,male,2,0,2,4
355,Belgium,1964,male,2,0,1,3
356,New Zealand,1964,male,2,0,1,3
357,France,1964,male,1,3,3,7
358,Sweden,1964,male,1,1,2,4
359,Switzerland,1964,male,1,1,1,3
360,Ethiopia,1964,male,1,0,0,1
361,Netherlands,1964,male,1,0,0,1
362,Romania,1964,male,0,3,3,6
363,Canada,1964,male,0,2,1,3
364,Republic of Korea,1964,male,0,2,1,3
365,Denmark,1964,male,0,1,2,3
366,Trinidad and Tobago,1964,male,0,1,1,2
367,Tunisia,1964,male,0,1,1,2
368,Argentina,1964,male,0,1,0,1
369,Cuba,1964,male,0,1,0,1
370,Philippines,1964,male,0,1,0,1
371,Islamic Republic of Iran,1964,male,0,0,2,2
372,Ghana,1964,male,0,0,1,1
373,Ireland,1964,male,0,0,1,1
374,Kenya,1964,male,0,0,1,1
375,Mexico,1964,male,0,0,1,1
376,Nigeria,1964,male,0,0,1,1
377,Uruguay,1964,male,0,0,1,1
378,United States,1968,male,22,18,23,63
379,Soviet Union,1968,male,18,20,13,51
380,Japan,1968,male,10,5,6,21
381,Hungary,1968,male,6,5,6,17
382,East Germany,1968,male,6,2,3,11
383,Poland,1968,male,4,2,7,13
384,France,1968,male,4,2,3,9
385,Kenya,1968,male,3,3,2,8
386,Great Britain,1968,male,3,2,2,7
387,Mexico,1968,male,3,2,2,7
388,Australia,1968,male,3,1,1,5
389,Italy,1968,male,2,3,5,10
390,Bulgaria,1968,male,2,3,3,8
391,Islamic Republic of Iran,1968,male,2,1,2,5
392,Türkiye,1968,male,2,0,0,2
393,West Germany,1968,male,1,7,7,15
394,Romania,1968,male,1,3,3,7
395,Finland,1968,male,1,2,1,4
396,Yugoslavia,1968,male,1,1,2,4
397,Ethiopia,1968,male,1,1,0,2
398,Czechoslovakia,1968,male,1,0,3,4
399,Sweden,1968,male,1,0,1,2
400,Tunisia,1968,male,1,0,1,2
401,Netherlands,1968,male,1,0,0,1
402,Venezuela,1968,male,1,0,0,1
403,Denmark,1968,male,0,3,1,4
404,Cuba,1968,male,0,2,0,2
405,Mongolia,1968,male,0,1,3,4
406,Brazil,1968,male,0,1,1,2
407,Republic of Korea,1968,male,0,1,1,2
408,Uganda,1968,male,0,1,1,2
409,Austria,1968,male,0,1,0,1
410,Belgium,1968,male,0,1,0,1
411,Cameroon,1968,male,0,1,0,1
412,Canada,1968,male,0,1,0,1
413,Jamaica,1968,male,0,1,0,1
414,Argentina,1968,male,0,0,2,2
415,New Zealand,1968,male,0,0,2,2
416,Switzerland,1968,male,0,0,2,2
417,Greece,1968,male,0,0,1,1
418,Soviet Union,1972,male,28,16,12,56
419,United States,1972,male,18,21,21,60
420,Japan,1972,male,10,7,8,25
421,East Germany,1972,male,7,4,11,22
422,Bulgaria,1972,male,6,8,2,16
423,Hungary,1972,male,5,6,12,23
424,Poland,1972,male,5,3,6,14
425,West Germany,1972,male,4,5,7,16
426,Sweden,1972,male,3,3,5,11
427,Italy,1972,male,3,2,6,11
428,Romania,1972,male,3,2,3,8
429,Finland,1972,male,3,1,3,7
430,Cuba,1972,male,3,1,1,5
431,Netherlands,1972,male,3,0,0,3
432,France,1972,male,2,3,4,9
433,Czechoslovakia,1972,male,2,1,0,3
434,Norway,1972,male,2,0,0,2
435,Australia,1972,male,1,4,0,5
436,Kenya,1972,male,1,3,4,8
437,Great Britain,1972,male,1,2,8,11
438,Democratic People's Republic of Korea,1972,male,1,1,2,4
439,Yugoslavia,1972,male,1,1,2,4
440,Uganda,1972,male,1,1,0,2
441,Denmark,1972,male,1,0,0,1
442,Islamic Republic of Iran,1972,male,0,2,1,3
443,Belgium,1972,male,0,2,0,2
444,Greece,1972,male,0,2,0,2
445,Colombia,1972,male,0,1,2,3
446,Austria,1972,male,0,1,1,2
447,Argentina,1972,male,0,1,0,1
448,Canada,1972,male,0,1,0,1
449,Lebanon,1972,male,0,1,0,1
450,Mexico,1972,male,0,1,0,1
451,Mongolia,1972,male,0,1,0,1
452,Republic of Korea,1972,male,0,1,0,1
453,Switzerland,1972,male,0,1,0,1
454,Tunisia,1972,male,0,1,0,1
455,Türkiye,1972,male,0,1,0,1
456,Brazil,1972,male,0,0,2,2
457,Ethiopia,1972,male,0,0,2,2
458,Ghana,1972,male,0,0,1,1
459,Jamaica,1972,male,0,0,1,1
460,New Zealand,1972,male,0,0,1,1
461,Niger,1972,male,0,0,1,1
462,Nigeria,1972,male,0,0,1,1
463,Spain,1972,male,0,0,1,1
464,Soviet Union,1976,male,30,20,19,69
465,United States,1976,male,25,23,17,65
466,East Germany,1976,male,8,7,12,27
467,Japan,1976,male,7,6,10,23
468,Cuba,1976,male,6,4,2,12
469,Poland,1976,male,5,2,12,19
470,West Germany,1976,male,4,6,10,20
471,Finland,1976,male,4,2,0,6
472,Bulgaria,1976,male,3,6,5,14
473,Hungary,1976,male,2,4,5,11
474,Italy,1976,male,2,2,4,8
475,Yugoslavia,1976,male,2,2,3,7
476,Czechoslovakia,1976,male,2,1,1,4
477,Sweden,1976,male,2,0,0,2
478,Romania,1976,male,1,5,9,15
479,France,1976,male,1,2,3,6
480,Great Britain,1976,male,1,2,3,6
481,Republic of Korea,1976,male,1,1,3,5
482,Democratic People's Republic of Korea,1976,male,1,1,0,2
483,Jamaica,1976,male,1,1,0,2
484,New Zealand,1976,male,1,1,0,2
485,Mexico,1976,male,1,0,1,2
486,Trinidad and Tobago,1976,male,1,0,0,1
487,Belgium,1976,male,0,3,2,5
488,Canada,1976,male,0,3,0,3
489,Netherlands,1976,male,0,2,0,2
490,Portugal,1976,male,0,2,0,2
491,Islamic Republic of Iran,1976,male,0,1,1,2
492,Mongolia,1976,male,0,1,0,1
493,Venezuela,1976,male,0,1,0,1
494,Australia,1976,male,0,0,2,2
495,Austria,1976,male,0,0,1,1
496,Bermuda,1976,male,0,0,1,1
497,Brazil,1976,male,0,0,1,1
498,Denmark,1976,male,0,0,1,1
499,Puerto Rico,1976,male,0,0,1,1
500,Switzerland,1976,male,0,0,1,1
501,Thailand,1976,male,0,0,1,1
502,Soviet Union,1980,male,46,44,26,116
503,East Germany,1980,male,14,11,23,48
504,Bulgaria,1980,male,8,10,11,29
505,Cuba,1980,male,7,7,5,19
506,Italy,1980,male,7,0,2,9
507,Hungary,1980,male,6,7,9,22
508,Great Britain,1980,male,5,4,4,13
509,Poland,1980,male,3,9,10,22
510,Sweden,1980,male,3,2,4,9
511,Finland,1980,male,3,1,2,6
512,France,1980,male,2,5,2,9
513,Romania,1980,male,2,1,6,9
514,Ethiopia,1980,male,2,0,2,4
515,Switzerland,1980,male,2,0,0,2
516,Czechoslovakia,1980,male,1,1,6,8
517,Yugoslavia,1980,male,1,0,2,3
518,Denmark,1980,male,1,0,1,2
519,Greece,1980,male,1,0,1,2
520,Belgium,1980,male,1,0,0,1
521,Democratic People's Republic of Korea,1980,male,0,3,2,5
522,Australia,1980,male,0,2,4,6
523,Mongolia,1980,male,0,2,2,4
524,United Republic of Tanzania,1980,male,0,2,0,2
525,Austria,1980,male,0,1,1,2
526,Mexico,1980,male,0,1,1,2
527,Netherlands,1980,male,0,1,1,2
528,Spain,1980,male,0,1,1,2
529,Uganda,1980,male,0,1,0,1
530,Venezuela,1980,male,0,1,0,1
531,Jamaica,1980,male,0,0,2,2
532,Brazil,1980,male,0,0,1,1
533,Guyana,1980,male,0,0,1,1
534,Ireland,1980,male,0,0,1,1
535,Lebanon,1980,male,0,0,1,1
536,United States,1984,male,42,28,19,89
537,West Germany,1984,male,11,9,9,29
538,Japan,1984,male,10,8,10,28
539,People's Republic of China,1984,male,10,6,5,21
540,Italy,1984,male,8,4,8,20
541,Republic of Korea,1984,male,5,4,6,15
542,Canada,1984,male,4,8,8,20
543,Romania,1984,male,4,7,8,19
544,France,1984,male,4,4,8,16
545,Finland,1984,male,4,1,6,11
546,New Zealand,1984,male,4,1,1,6
547,Great Britain,1984,male,3,5,11,19
548,Yugoslavia,1984,male,3,3,4,10
549,Australia,1984,male,2,4,4,10
550,Mexico,1984,male,2,3,1,6
551,Brazil,1984,male,1,2,2,5
552,Austria,1984,male,1,1,1,3
553,Kenya,1984,male,1,0,2,3
554,Netherlands,1984,male,1,0,1,2
555,Portugal,1984,male,1,0,1,2
556,Belgium,1984,male,1,0,0,1
557,Morocco,1984,male,1,0,0,1
558,Sweden,1984,male,0,8,4,12
559,Switzerland,1984,male,0,2,3,5
560,Denmark,1984,male,0,2,1,3
561,Greece,1984,male,0,1,1,2
562,Puerto Rico,1984,male,0,1,1,2
563,Colombia,1984,male,0,1,0,1
564,Côte d'Ivoire,1984,male,0,1,0,1
565,Egypt,1984,male,0,1,0,1
566,Ireland,1984,male,0,1,0,1
567,Nigeria,1984,male,0,1,0,1
568,Peru,1984,male,0,1,0,1
569,Syrian Arab Republic,1984,male,0,1,0,1
570,Thailand,1984,male,0,1,0,1
571,Türkiye,1984,male,0,0,3,3
572,Venezuela,1984,male,0,0,3,3
573,Algeria,1984,male,0,0,2,2
574,Cameroon,1984,male,0,0,1,1
575,Chinese Taipei,1984,male,0,0,1,1
576,Dominican Republic,1984,male,0,0,1,1
577,Iceland,1984,male,0,0,1,1
578,Norway,1984,male,0,0,1,1
579,Spain,1984,male,0,0,1,1
580,Zambia,1984,male,0,0,1,1
581,Soviet Union,1988,male,33,17,26,76
582,United States,1988,male,17,18,14,49
583,East Germany,1988,male,13,14,12,39
584,Republic of Korea,1988,male,7,7,9,23
585,Bulgaria,1988,male,7,6,6,19
586,Hungary,1988,male,7,4,3,14
587,Kenya,1988,male,5,2,2,9
588,Japan,1988,male,4,2,4,10
589,Italy,1988,male,4,2,3,9
590,France,1988,male,3,3,2,8
591,Czechoslovakia,1988,male,3,2,1,6
592,West Germany,1988,male,2,8,8,18
593,Great Britain,1988,male,2,6,4,12
594,Poland,1988,male,2,3,7,12
595,Romania,1988,male,2,2,1,5
596,New Zealand,1988,male,2,0,5,7
597,Norway,1988,male,2,0,0,2
598,Australia,1988,male,1,5,1,7
599,People's Republic of China,1988,male,1,4,7,12
600,Canada,1988,male,1,1,2,4
601,Finland,1988,male,1,1,2,4
602,Brazil,1988,male,1,1,1,3
603,Yugoslavia,1988,male,1,1,1,3
604,Denmark,1988,male,1,1,0,2
605,Türkiye,1988,male,1,1,0,2
606,Morocco,1988,male,1,0,2,3
607,Spain,1988,male,1,0,2,3
608,Austria,1988,male,1,0,0,1
609,Suriname,1988,male,1,0,0,1
610,Sweden,1988,male,0,3,5,8
611,Netherlands,1988,male,0,1,2,3
612,Chile,1988,male,0,1,0,1
613,Islamic Republic of Iran,1988,male,0,1,0,1
614,Netherlands Antilles,1988,male,0,1,0,1
615,Senegal,1988,male,0,1,0,1
616,United States Virgin Islands,1988,male,0,1,0,1
617,Belgium,1988,male,0,0,2,2
618,Mexico,1988,male,0,0,2,2
619,Colombia,1988,male,0,0,1,1
620,Djibouti,1988,male,0,0,1,1
621,Greece,1988,male,0,0,1,1
622,Mongolia,1988,male,0,0,1,1
623,Pakistan,1988,male,0,0,1,1
624,Philippines,1988,male,0,0,1,1
625,Switzerland,1988,male,0,0,1,1
626,Thailand,1988,male,0,0,1,1
627,Unified Team,1992,male,28,22,15,65
628,United States,1992,male,16,18,15,49
629,Germany,1992,male,10,7,14,31
630,Cuba,1992,male,10,3,6,19
631,Hungary,1992,male,6,6,6,18
632,Republic of Korea,1992,male,5,3,7,15
633,Spain,1992,male,5,3,1,9
634,France,1992,male,4,4,7,15
635,Czechoslovakia,1992,male,4,1,1,6
636,Democratic People's Republic of Korea,1992,male,4,0,3,7
637,People's Republic of China,1992,male,3,6,7,16
638,Australia,1992,male,3,4,3,10
639,Bulgaria,1992,male,3,4,3,10
640,Italy,1992,male,3,2,5,10
641,Japan,1992,male,2,4,5,11
642,Poland,1992,male,2,4,5,11
643,Kenya,1992,male,2,4,2,8
644,Canada,1992,male,2,3,3,8
645,Great Britain,1992,male,2,2,5,9
646,Türkiye,1992,male,2,2,1,5
647,Sweden,1992,male,1,3,3,7
648,Norway,1992,male,1,2,1,4
649,Finland,1992,male,1,1,2,4
650,Indonesia,1992,male,1,1,1,3
651,Morocco,1992,male,1,1,1,3
652,Brazil,1992,male,1,1,0,2
653,Ireland,1992,male,1,1,0,2
654,Greece,1992,male,1,0,0,1
655,Lithuania,1992,male,1,0,0,1
656,Switzerland,1992,male,1,0,0,1
657,Netherlands,1992,male,0,4,2,6
658,Latvia,1992,male,0,2,1,3
659,Namibia,1992,male,0,2,0,2
660,Nigeria,1992,male,0,2,0,2
661,New Zealand,1992,male,0,1,4,5
662,Islamic Republic of Iran,1992,male,0,1,2,3
663,Jamaica,1992,male,0,1,0,1
664,Mexico,1992,male,0,1,0,1
665,Peru,1992,male,0,1,0,1
666,Romania,1992,male,0,0,4,4
667,Denmark,1992,male,0,0,2,2
668,Ethiopia,1992,male,0,0,2,2
669,Algeria,1992,male,0,0,1,1
670,Belgium,1992,male,0,0,1,1
671,Croatia,1992,male,0,0,1,1
672,Independent Olympic Athletes,1992,male,0,0,1,1
673,Israel,1992,male,0,0,1,1
674,Mongolia,1992,male,0,0,1,1
675,Philippines,1992,male,0,0,1,1
676,Puerto Rico,1992,male,0,0,1,1
677,Qatar,1992,male,0,0,1,1
678,Suriname,1992,male,0,0,1,1
679,Thailand,1992,male,0,0,1,1
680,The Bahamas,1992,male,0,0,1,1
681,United States,1996,male,18,17,11,46
682,Russian Federation,1996,male,17,8,10,35
683,Germany,1996,male,8,6,15,29
684,Italy,1996,male,7,3,4,14
685,People's Republic of China,1996,male,6,7,5,18
